aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
True,91.73558482134979,0.36154523491859436,B2_homog_alpha,10,5.598314640806797,pair_10,17.855438787095565,S1,0.7502614099169316
True,300.5250168219181,0.5623053312301636,B3_affine_alpha,4,6.957403256783297,pair_10,14.484947470295989,S1,0.6992668979404663
True,300.5250168219181,0.5623053312301636,V2_affine_only,4,6.957403256783297,pair_10,14.484947470295989,S1,0.6992668979404663
True,239.77875510572537,0.5616085529327393,V3_affine_flow,4,6.946210043967119,pair_10,14.489449052324968,S1,0.698980135877876
True,1064.695517103118,0.5096251368522644,V4_affine_lab,4,6.1529107233566585,pair_10,21.782479601126518,S1,0.682107864486607
True,25.351216130046893,0.3528675436973572,V5_full_nopost,4,7.059831672445472,pair_10,25.70798480995581,S1,0.8698220808961417
True,556.8375437554367,0.5000532269477844,V5_full,4,5.987297165039711,pair_10,22.131483502072147,S1,0.6947711997280702
True,25.351216130046893,0.3528675436973572,P1_fidelity,4,7.059831672445472,pair_10,25.70798480995581,S1,0.8698220808961417
True,146.37506091334498,0.3814709782600403,P2_light_post,4,5.489336769478185,pair_10,23.384087136501886,S1,0.8166906760245789
True,447.2433294123145,0.4736331105232239,A1_lightglue,23,4.7561149105901315,pair_10,21.90788873951781,S1,0.7185746327174252
True,1064.695517103118,0.5096251368522644,A2_raft,4,6.1529107233566585,pair_10,21.782479601126518,S1,0.682107864486607
True,373.02186339550184,0.4541396200656891,A3_learned,23,4.953497247211751,pair_10,22.084921647132305,S1,0.7321237812025335
True,20.115078253509623,0.34109434485435486,P3_fidelity_lg,23,5.340281845071606,pair_10,25.704039526904154,S1,0.8705919099003918
,2.6013156425954715,0.2859545052051544,Base_M1,,8.269782535716477,pair_11,28.881069269031123,S1,0.8991980096741125
False,4.851316746440517,0.27869564294815063,B1_lanczos,0,7.688927450853088,pair_11,28.862630832358246,S1,0.8972584500618168
True,99.91403515668485,0.2558930814266205,B2_homog_alpha,58,4.08616675863024,pair_11,20.502251294661757,S1,0.8191085100232
True,99.59544582911253,0.38587644696235657,B3_affine_alpha,10,3.8172459979034583,pair_11,17.72063668481544,S1,0.7522787612166719
True,99.59544582911253,0.38587644696235657,V2_affine_only,10,3.8172459979034583,pair_11,17.72063668481544,S1,0.7522787612166719
True,116.01200901939151,0.39796650409698486,V3_affine_flow,10,3.538984432534814,pair_11,17.6418338249214,S1,0.7494300912672334
True,525.3053284116313,0.5419268608093262,V4_affine_lab,10,3.4090131756036164,pair_11,20.263976426033906,S1,0.7075069282577379
True,13.116414383895506,0.27882838249206543,V5_full_nopost,10,5.771206229723075,pair_11,28.78453407101796,S1,0.8883061391328837
True,315.7170895748699,0.5312358140945435,V5_full,10,3.652517761064715,pair_11,20.55863930394012,S1,0.7233375018462239
True,13.116414383895506,0.27882838249206543,P1_fidelity,10,5.771206229723075,pair_11,28.78453407101796,S1,0.8883061391328837
True,79.12079544379034,0.3841269016265869,P2_light_post,10,3.9260561105910767,pair_11,22.885489586277327,S1,0.8421820288478548
True,328.46110641330256,0.48287731409072876,A1_lightglue,40,3.8366793733264983,pair_11,20.734897157245086,S1,0.7474412541309967
True,266.35672825107196,0.4964488744735718,A2_raft,10,4.570600172739435,pair_11,20.635189588916916,S1,0.7373587418168978
True,251.1941636739699,0.45313674211502075,A3_learned,40,4.5984826900991225,pair_11,20.787042300270677,S1,0.7641457453161729
